Reading timing models for corner nom_tt_025C_1v80…
Reading timing library for the 'nom_tt_025C_1v80' corner at '/home/diddy/.ciel/ciel/sky130/versions/0fe599b2afb6708d281543108caf8310912f54af/sky130A/libs.ref/sky130_fd_sc_hd/lib/sky130_fd_sc_hd__tt_025C_1v80.lib'…
Reading timing models for corner nom_ff_n40C_1v95…
Reading timing library for the 'nom_ff_n40C_1v95' corner at '/home/diddy/.ciel/ciel/sky130/versions/0fe599b2afb6708d281543108caf8310912f54af/sky130A/libs.ref/sky130_fd_sc_hd/lib/sky130_fd_sc_hd__ff_n40C_1v95.lib'…
Reading timing models for corner nom_ss_100C_1v60…
Reading timing library for the 'nom_ss_100C_1v60' corner at '/home/diddy/.ciel/ciel/sky130/versions/0fe599b2afb6708d281543108caf8310912f54af/sky130A/libs.ref/sky130_fd_sc_hd/lib/sky130_fd_sc_hd__ss_100C_1v60.lib'…
Reading OpenROAD database at '/mnt/c/Data/IEEE/32Bit-ALU/pd/runs/RUN_2026-01-21_11-02-27/41-openroad-repairantennas/1-diodeinsertion/ALU.odb'…
Reading design constraints file at '/nix/store/ifgrnqkf6pcsk2qzdn5bai2rvd4skbbc-python3-3.11.9-env/lib/python3.11/site-packages/librelane/scripts/base.sdc'…
[INFO] Using clock clk…
[INFO] Setting output delay to: 1.6
[INFO] Setting input delay to: 1.6
[INFO] Setting load to: 0.033442
[INFO] Setting clock uncertainty to: 0.25
[INFO] Setting clock transition to: 0.1499999999999999944488848768742172978818416595458984375
[INFO] Setting timing derate to: 5%
[INFO] Setting RC values…
[INFO] Setting signal min routing layer to: met1 and clock min routing layer to met1. 
[INFO] Setting signal max routing layer to: met5 and clock max routing layer to met5. 
-congestion_iterations 50 -verbose
[INFO GRT-0020] Min routing layer: met1
[INFO GRT-0021] Max routing layer: met5
[INFO GRT-0022] Global adjustment: 30%
[INFO GRT-0023] Grid origin: (0, 0)
[INFO GRT-0043] No OR_DEFAULT vias defined.
[INFO GRT-0088] Layer li1     Track-Pitch = 0.4600  line-2-Via Pitch: 0.3400
[INFO GRT-0088] Layer met1    Track-Pitch = 0.3400  line-2-Via Pitch: 0.3400
[INFO GRT-0088] Layer met2    Track-Pitch = 0.4600  line-2-Via Pitch: 0.3500
[INFO GRT-0088] Layer met3    Track-Pitch = 0.6800  line-2-Via Pitch: 0.6150
[INFO GRT-0088] Layer met4    Track-Pitch = 0.9200  line-2-Via Pitch: 1.0400
[INFO GRT-0088] Layer met5    Track-Pitch = 3.4000  line-2-Via Pitch: 3.1100
[INFO GRT-0019] Found 25 clock nets.
[INFO GRT-0001] Minimum degree: 2
[INFO GRT-0002] Maximum degree: 27
[INFO GRT-0003] Macros: 0
[INFO GRT-0043] No OR_DEFAULT vias defined.
[INFO GRT-0004] Blockages: 5171

[INFO GRT-0053] Routing resources analysis:
          Routing      Original      Derated      Resource
Layer     Direction    Resources     Resources    Reduction (%)
---------------------------------------------------------------
li1        Vertical            0             0          0.00%
met1       Horizontal      69464         33768          51.39%
met2       Vertical        51581         33738          34.59%
met3       Horizontal      34732         23807          31.46%
met4       Vertical        20715         12956          37.46%
met5       Horizontal       6900          3249          52.91%
---------------------------------------------------------------

[INFO GRT-0101] Running extra iterations to remove overflow.
[INFO GRT-0197] Via related to pin nodes: 63679
[INFO GRT-0198] Via related Steiner nodes: 1035
[INFO GRT-0199] Via filling finished.
[INFO GRT-0111] Final number of vias: 80832
[INFO GRT-0112] Final usage 3D: 289386

[INFO GRT-0096] Final congestion report:
Layer         Resource        Demand        Usage (%)    Max H / Max V / Total Overflow
---------------------------------------------------------------------------------------
li1                  0             0            0.00%             0 /  0 /  0
met1             33768         17981           53.25%             0 /  0 /  0
met2             33738         18335           54.35%             0 /  0 /  0
met3             23807          6348           26.66%             0 /  0 /  0
met4             12956          4076           31.46%             0 /  0 /  0
met5              3249           150            4.62%             0 /  0 /  0
---------------------------------------------------------------------------------------
Total           107518         46890           43.61%             0 /  0 /  0

[INFO GRT-0018] Total wirelength: 507281 um
[INFO GRT-0014] Routed nets: 10920
[INFO RSZ-0094] Found 78 endpoints with setup violations.
[INFO RSZ-0099] Repairing 78 out of 78 (100.00%) violating endpoints...
   Iter   | Removed | Resized | Inserted | Cloned |  Pin  |    WNS   |   TNS      |  Viol  | Worst
      410 |       8 |     270 |       23 |      0 |    75 |   -7.854 |     -413.7 |     78 | _14499_/D
      420 |       8 |     276 |       23 |      0 |    79 |   -7.842 |     -413.6 |     78 | _14499_/D
      422 |       8 |     237 |       22 |      0 |    72 |   -7.828 |     -413.9 |     78 | _14499_/D
      430 |       8 |     243 |       22 |      0 |    73 |   -7.809 |     -413.4 |     78 | _14499_/D
      440 |       8 |     248 |       24 |      0 |    77 |   -7.782 |     -413.0 |     78 | _14359_/D
      450 |       9 |     256 |       24 |      0 |    78 |   -7.782 |     -412.3 |     78 | _14359_/D
      460 |      11 |     263 |       24 |      0 |    79 |   -7.782 |     -411.2 |     78 | _14359_/D
      470 |      11 |     271 |       24 |      0 |    81 |   -7.782 |     -411.0 |     78 | _14359_/D
      480 |      11 |     281 |       24 |      0 |    81 |   -7.782 |     -410.5 |     78 | _14359_/D
      490 |      11 |     290 |       24 |      0 |    82 |   -7.782 |     -410.4 |     78 | _14359_/D
      500 |      11 |     297 |       28 |      0 |    83 |   -7.782 |     -412.4 |     78 | _14359_/D
      510 |      11 |     305 |       30 |      0 |    84 |   -7.782 |     -410.7 |     78 | _14359_/D
      520 |      11 |     314 |       30 |      0 |    85 |   -7.782 |     -410.3 |     78 | _14359_/D
      530 |      11 |     321 |       32 |      0 |    87 |   -7.782 |     -410.3 |     78 | _14359_/D
      540 |      11 |     329 |       32 |      0 |    89 |   -7.782 |     -410.1 |     78 | _14359_/D
      550 |      11 |     336 |       34 |      0 |    91 |   -7.782 |     -409.9 |     78 | _14359_/D
      560 |      11 |     343 |       36 |      0 |    93 |   -7.782 |     -409.7 |     78 | _14359_/D
      570 |      12 |     350 |       36 |      0 |    95 |   -7.782 |     -409.5 |     78 | _14359_/D
      580 |      12 |     358 |       36 |      0 |    97 |   -7.782 |     -409.6 |     78 | _14359_/D
      590 |      12 |     366 |       36 |      0 |    99 |   -7.782 |     -409.3 |     78 | _14359_/D
      600 |      12 |     373 |       38 |      0 |   101 |   -7.782 |     -409.1 |     78 | _14359_/D
      610 |      13 |     379 |       38 |      0 |   104 |   -7.782 |     -409.0 |     78 | _14359_/D
      620 |      13 |     388 |       38 |      0 |   105 |   -7.782 |     -409.0 |     78 | _14359_/D
      630 |      13 |     398 |       38 |      0 |   105 |   -7.782 |     -409.0 |     78 | _14359_/D
      640 |      13 |     407 |       38 |      0 |   106 |   -7.782 |     -408.8 |     78 | _14359_/D
      650 |      13 |     414 |       40 |      0 |   108 |   -7.782 |     -410.1 |     78 | _14359_/D
      660 |      13 |     422 |       40 |      0 |   110 |   -7.782 |     -409.1 |     78 | _14359_/D
      670 |      13 |     428 |       40 |      0 |   114 |   -7.782 |     -408.8 |     78 | _14359_/D
      680 |      13 |     434 |       40 |      0 |   118 |   -7.782 |     -408.7 |     78 | _14359_/D
      690 |      14 |     442 |       40 |      0 |   119 |   -7.782 |     -408.7 |     78 | _14359_/D
      700 |      14 |     447 |       40 |      0 |   124 |   -7.782 |     -408.7 |     78 | _14359_/D
      710 |      14 |     454 |       40 |      0 |   127 |   -7.782 |     -409.2 |     78 | _14359_/D
      720 |      14 |     463 |       42 |      0 |   127 |   -7.782 |     -413.6 |     78 | _14359_/D
      730 |      15 |     472 |       42 |      0 |   127 |   -7.782 |     -408.5 |     78 | _14359_/D
      740 |      15 |     481 |       42 |      0 |   128 |   -7.782 |     -408.4 |     78 | _14359_/D
      750 |      15 |     487 |       42 |      0 |   132 |   -7.782 |     -408.4 |     78 | _14359_/D
      760 |      15 |     495 |       42 |      0 |   134 |   -7.782 |     -408.3 |     78 | _14359_/D
      770 |      15 |     504 |       42 |      0 |   135 |   -7.782 |     -409.0 |     78 | _14359_/D
      780 |      15 |     512 |       44 |      0 |   136 |   -7.782 |     -409.6 |     78 | _14359_/D
      790 |      15 |     521 |       46 |      0 |   136 |   -7.782 |     -408.8 |     78 | _14359_/D
      800 |      15 |     531 |       46 |      0 |   136 |   -7.782 |     -408.0 |     78 | _14359_/D
      810 |      15 |     539 |       46 |      0 |   138 |   -7.782 |     -407.9 |     78 | _14359_/D
      820 |      15 |     546 |       46 |      0 |   141 |   -7.782 |     -408.0 |     78 | _14359_/D
      830 |      17 |     552 |       46 |      0 |   143 |   -7.782 |     -408.6 |     78 | _14359_/D
      840 |      17 |     562 |       46 |      0 |   143 |   -7.782 |     -408.0 |     78 | _14359_/D
      850 |      18 |     570 |       46 |      0 |   144 |   -7.782 |     -407.6 |     78 | _14359_/D
      860 |      18 |     579 |       46 |      0 |   145 |   -7.782 |     -407.3 |     78 | _14359_/D
      870 |      18 |     588 |       46 |      0 |   146 |   -7.782 |     -407.0 |     78 | _14359_/D
      880 |      18 |     597 |       46 |      0 |   147 |   -7.782 |     -406.9 |     78 | _14359_/D
      890 |      18 |     603 |       48 |      0 |   150 |   -7.782 |     -406.8 |     78 | _14359_/D
      900 |      18 |     611 |       50 |      0 |   151 |   -7.782 |     -406.7 |     78 | _14359_/D
      910 |      18 |     619 |       50 |      0 |   153 |   -7.782 |     -407.3 |     78 | _14359_/D
      920 |      18 |     629 |       50 |      0 |   153 |   -7.782 |     -406.9 |     78 | _14359_/D
      930 |      18 |     637 |       50 |      0 |   155 |   -7.782 |     -406.3 |     78 | _14359_/D
      940 |      18 |     645 |       50 |      0 |   157 |   -7.782 |     -406.2 |     78 | _14359_/D
      950 |      18 |     653 |       50 |      0 |   159 |   -7.782 |     -406.5 |     78 | _14359_/D
      960 |      18 |     662 |       50 |      0 |   160 |   -7.782 |     -406.0 |     78 | _14359_/D
      970 |      18 |     671 |       52 |      0 |   160 |   -7.782 |     -405.9 |     78 | _14359_/D
      980 |      18 |     679 |       52 |      0 |   162 |   -7.782 |     -405.9 |     78 | _14359_/D
      990 |      18 |     689 |       52 |      0 |   162 |   -7.782 |     -405.8 |     78 | _14359_/D
     1000 |      19 |     698 |       52 |      0 |   162 |   -7.782 |     -405.7 |     78 | _14359_/D
     1010 |      19 |     708 |       52 |      0 |   162 |   -7.782 |     -405.6 |     78 | _14359_/D
     1020 |      20 |     715 |       52 |      0 |   164 |   -7.782 |     -405.5 |     78 | _14359_/D
     1030 |      20 |     724 |       52 |      0 |   165 |   -7.782 |     -405.4 |     78 | _14359_/D
     1040 |      22 |     732 |       52 |      0 |   165 |   -7.782 |     -405.3 |     78 | _14359_/D
     1050 |      22 |     742 |       52 |      0 |   165 |   -7.782 |     -405.5 |     78 | _14359_/D
     1060 |      22 |     750 |       52 |      0 |   167 |   -7.782 |     -405.1 |     78 | _14359_/D
     1070 |      22 |     759 |       54 |      0 |   167 |   -7.782 |     -405.3 |     78 | _14359_/D
     1080 |      22 |     767 |       56 |      0 |   168 |   -7.782 |     -405.1 |     78 | _14359_/D
     1090 |      22 |     775 |       56 |      0 |   170 |   -7.782 |     -405.0 |     78 | _14359_/D
     1091 |      22 |     776 |       56 |      0 |   170 |   -7.782 |     -404.9 |     78 | _14359_/D
     1092 |      22 |     776 |       56 |      0 |   170 |   -7.782 |     -404.9 |     78 | _14359_/D
     1095 |      22 |     777 |       56 |      0 |   170 |   -7.782 |     -404.9 |     78 | _14359_/D
     1100 |      22 |     780 |       58 |      0 |   170 |   -7.782 |     -404.9 |     78 | _14359_/D
     1110 |      22 |     788 |       60 |      0 |   171 |   -7.782 |     -405.9 |     78 | _14359_/D
     1120 |      22 |     796 |       60 |      0 |   173 |   -7.782 |     -404.7 |     78 | _14359_/D
     1130 |      23 |     802 |       62 |      0 |   175 |   -7.782 |     -404.5 |     78 | _14359_/D
     1140 |      23 |     808 |       67 |      0 |   177 |   -7.782 |     -406.4 |     78 | _14359_/D
     1150 |      23 |     812 |       67 |      0 |   183 |   -7.782 |     -406.1 |     78 | _14359_/D
     1160 |      23 |     820 |       67 |      0 |   185 |   -7.782 |     -405.1 |     78 | _14359_/D
     1170 |      23 |     830 |       67 |      0 |   185 |   -7.782 |     -405.0 |     78 | _14359_/D
     1180 |      24 |     839 |       67 |      0 |   185 |   -7.782 |     -404.5 |     78 | _14359_/D
     1183 |      23 |     808 |       66 |      0 |   175 |   -7.782 |     -404.6 |     78 | _14359_/D
     1190 |      23 |     812 |       66 |      0 |   177 |   -7.782 |     -404.6 |     78 | _14359_/D
     1200 |      24 |     816 |       68 |      0 |   181 |   -7.782 |     -404.6 |     78 | _14359_/D
     1210 |      24 |     821 |       72 |      0 |   184 |   -7.782 |     -407.4 |     78 | _14359_/D
     1220 |      25 |     829 |       74 |      0 |   184 |   -7.782 |     -405.1 |     78 | _14359_/D
     1230 |      25 |     836 |       76 |      0 |   186 |   -7.782 |     -402.7 |     78 | _14359_/D
     1240 |      25 |     845 |       78 |      0 |   186 |   -7.782 |     -403.3 |     78 | _14359_/D
     1250 |      25 |     853 |       78 |      0 |   188 |   -7.782 |     -402.5 |     78 | _14359_/D
     1260 |      25 |     859 |       78 |      0 |   192 |   -7.782 |     -402.3 |     78 | _14359_/D
     1270 |      25 |     868 |       78 |      0 |   193 |   -7.782 |     -403.2 |     78 | _14359_/D
     1280 |      25 |     875 |       78 |      0 |   196 |   -7.782 |     -403.4 |     78 | _14359_/D
     1290 |      25 |     882 |       80 |      0 |   198 |   -7.782 |     -407.6 |     78 | _14359_/D
     1300 |      25 |     888 |       86 |      0 |   199 |   -7.782 |     -405.0 |     78 | _14359_/D
     1300 |      25 |     888 |       86 |      0 |   199 |   -7.782 |     -405.0 |     78 | _14359_/D
     1310 |      25 |     892 |       91 |      0 |   202 |   -7.782 |     -404.1 |     78 | _14359_/D
     1317 |      25 |     898 |       91 |      0 |   203 |   -7.782 |     -403.2 |     78 | _14359_/D
     1320 |      25 |     900 |       91 |      0 |   203 |   -7.782 |     -403.1 |     78 | _14359_/D
     1330 |      25 |     906 |       93 |      0 |   206 |   -7.782 |     -404.4 |     78 | _14359_/D
     1340 |      25 |     913 |       93 |      0 |   209 |   -7.782 |     -403.9 |     78 | _14359_/D
     1349 |      25 |     918 |       95 |      0 |   211 |   -7.782 |     -404.1 |     78 | _14359_/D
     1350 |      25 |     918 |       95 |      0 |   211 |   -7.782 |     -404.1 |     78 | _14359_/D
     1354 |      25 |     919 |       95 |      0 |   212 |   -7.782 |     -404.0 |     78 | _14359_/D
     1358 |      25 |     919 |       95 |      0 |   213 |   -7.782 |     -403.9 |     78 | _14359_/D
     1360 |      25 |     920 |       95 |      0 |   213 |   -7.782 |     -404.0 |     78 | _14359_/D
     1361 |      25 |     919 |       95 |      0 |   213 |   -7.782 |     -403.9 |     78 | _14359_/D
     1364 |      25 |     920 |       95 |      0 |   214 |   -7.782 |     -404.0 |     78 | _14359_/D
     1366 |      25 |     920 |       95 |      0 |   214 |   -7.782 |     -404.0 |     78 | _14359_/D
     1368 |      25 |     920 |       95 |      0 |   214 |   -7.782 |     -404.0 |     78 | _14359_/D
     1370 |      25 |     921 |       95 |      0 |   214 |   -7.664 |     -400.9 |     78 | _14359_/D
     1380 |      25 |     930 |       95 |      0 |   215 |   -7.533 |     -393.1 |     78 | _14522_/D
     1390 |      26 |     933 |       95 |      0 |   221 |   -7.533 |     -388.4 |     78 | _14522_/D
     1400 |      28 |     939 |       95 |      0 |   223 |   -7.533 |     -386.2 |     78 | _14522_/D
     1410 |      28 |     945 |       95 |      0 |   227 |   -7.533 |     -384.8 |     78 | _14522_/D
     1420 |      28 |     951 |       95 |      0 |   231 |   -7.533 |     -385.8 |     78 | _14522_/D
     1430 |      28 |     959 |       95 |      0 |   233 |   -7.533 |     -385.0 |     78 | _14522_/D
     1440 |      29 |     963 |       97 |      0 |   237 |   -7.533 |     -382.7 |     78 | _14522_/D
     1450 |      30 |     967 |       97 |      0 |   242 |   -7.533 |     -380.5 |     78 | _14522_/D
     1460 |      30 |     972 |       99 |      0 |   246 |   -7.533 |     -380.4 |     78 | _14522_/D
     1470 |      30 |     978 |      103 |      0 |   248 |   -7.533 |     -379.6 |     78 | _14522_/D
     1480 |      31 |     983 |      107 |      0 |   250 |   -7.533 |     -388.5 |     78 | _14522_/D
     1490 |      33 |     988 |      111 |      0 |   251 |   -7.533 |     -387.6 |     78 | _14522_/D
     1500 |      33 |     994 |      111 |      0 |   255 |   -7.533 |     -379.4 |     78 | _14522_/D
     1510 |      34 |     999 |      115 |      0 |   257 |   -7.533 |     -378.8 |     78 | _14522_/D
     1520 |      34 |    1005 |      119 |      0 |   259 |   -7.533 |     -381.7 |     78 | _14522_/D
     1530 |      35 |    1011 |      119 |      0 |   262 |   -7.533 |     -380.1 |     78 | _14522_/D
     1540 |      35 |    1015 |      121 |      0 |   267 |   -7.533 |     -380.3 |     78 | _14522_/D
     1550 |      35 |    1024 |      121 |      0 |   268 |   -7.533 |     -379.3 |     78 | _14522_/D
     1560 |      37 |    1031 |      121 |      0 |   269 |   -7.533 |     -377.2 |     78 | _14522_/D
     1570 |      37 |    1040 |      123 |      0 |   269 |   -7.533 |     -377.1 |     78 | _14522_/D
     1580 |      37 |    1046 |      125 |      0 |   272 |   -7.533 |     -376.8 |     78 | _14522_/D
     1590 |      38 |    1054 |      127 |      0 |   272 |   -7.533 |     -376.2 |     78 | _14522_/D
     1600 |      38 |    1060 |      129 |      0 |   275 |   -7.533 |     -376.3 |     78 | _14522_/D
     1610 |      38 |    1067 |      134 |      0 |   276 |   -7.533 |     -375.7 |     78 | _14522_/D
     1613 |      39 |    1069 |      134 |      0 |   276 |   -7.533 |     -375.6 |     78 | _14522_/D
     1615 |      39 |    1069 |      134 |      0 |   276 |   -7.533 |     -375.6 |     78 | _14522_/D
     1617 |      39 |    1069 |      134 |      0 |   277 |   -7.533 |     -375.6 |     78 | _14522_/D
     1620 |      39 |    1070 |      134 |      0 |   278 |   -7.533 |     -375.7 |     78 | _14522_/D
     1620 |      39 |    1069 |      134 |      0 |   277 |   -7.533 |     -375.6 |     78 | _14522_/D
     1623 |      39 |    1070 |      134 |      0 |   277 |   -7.533 |     -375.6 |     78 | _14522_/D
     1630 |      39 |    1073 |      134 |      0 |   280 |   -7.534 |     -375.6 |     78 | _14522_/D
     1637 |      39 |    1070 |      134 |      0 |   277 |   -7.533 |     -375.6 |     78 | _14522_/D
     1638 |      39 |    1070 |      134 |      0 |   277 |   -7.533 |     -375.6 |     78 | _14522_/D
     1640 |      39 |    1070 |      134 |      0 |   278 |   -7.533 |     -375.7 |     78 | _14522_/D
     1640 |      39 |    1070 |      134 |      0 |   277 |   -7.533 |     -375.6 |     78 | _14522_/D
     1643 |      39 |    1070 |      134 |      0 |   277 |   -7.533 |     -375.6 |     78 | _14522_/D
     1646 |      39 |    1070 |      134 |      0 |   277 |   -7.533 |     -375.6 |     78 | _14522_/D
     1650 |      39 |    1070 |      134 |      0 |   280 |   -7.533 |     -376.1 |     78 | _14522_/D
     1650 |      39 |    1070 |      134 |      0 |   277 |   -7.533 |     -375.6 |     78 | _14522_/D
     1657 |      39 |    1072 |      134 |      0 |   277 |   -7.533 |     -375.5 |     78 | _14522_/D
